Away,Home,AwayPred,HomePred,AwayPwin,HomePwin,AwayMargin,HomeMargin
Boston,NY Rangers,2,3,36.53,61.8,1.5,-0.5
San Jose,Calgary,2,3,42.84,55.47,-1.5,-0.5
Pittsburgh,Edmonton,3,2,64.17,34.24,-1.5,---
